listing_id,title,bhk,price,price_text,area_sqft,area_text,price_per_sqft,property_type,locality,address,url
80555597,"3 BHK House for Sale in Bengali Market, Mandi House New Delhi",3,67500000.0,₹ 6.75 Cr,1800.0,1800 sqft,37500.0,,,,
78950363,3 BHK Builder Floor for Sale in Sector 8 Dwarka New Delhi,3,27500000.0,₹ 2.75 Cr,1800.0,1800 sqft,15277.777777777777,,,,
76571099,"3 BHK Apartment for Sale in DLF One Midtown, New Moti Nagar, Kirti Nagar New Delhi",3,63000000.0,₹ 6.30 Cr,2300.0,2300 sqft,27391.304347826088,,DLF One Midtown,,
77015153,3 BHK Apartment for Sale in ALAKNANDA mandakini apartments New Delhi,3,27500000.0,₹ 2.75 Cr,1450.0,1450 sqft,18965.51724137931,,,,
80592201,3 BHK Builder Floor for Sale in Sector 22 Rohini New Delhi,3,8800000.0,₹ 88 Lac,750.0,750 sqft,11733.333333333334,,,,
73436101,3 BHK Builder Floor for Sale in Defence Colony New Delhi,3,70000000.0,₹ 7 Cr,1710.0,190 sqyrd,40935.67251461988,,,,
77127645,"3 BHK Builder Floor for Sale in AGCR Enclave, Karkardooma, Anand Vihar New Delhi",3,37500000.0,₹ 3.75 Cr,1800.0,200 sqyrd,20833.333333333332,,AGCR Enclave,,
78824327,4 BHK Builder Floor for Sale in Anand Lok New Delhi,4,160000000.0,₹ 16 Cr,3600.0,400 sqyrd,44444.444444444445,,,,
81248075,"4 BHK Builder Floor for Sale in Bharthal, Dwarka New Delhi",4,15000000.0,₹ 1.50 Cr,1215.0,1215 sqft,12345.67901234568,,,,
81102573,3 BHK Apartment for Sale in D2 DDA Flat Vasant Kunj New Delhi,3,46000000.0,₹ 4.60 Cr,1130.0,1130 sqft,40707.96460176991,,,,
81273749,4 BHK Builder Floor for Sale in Block M Saket New Delhi,4,67500000.0,₹ 6.75 Cr,2200.0,2200 sqft,30681.81818181818,,,,
81075041,3 BHK Builder Floor for Sale in Khirki Extension New Delhi,3,20000000.0,₹ 2 Cr,1150.0,1150 sqft,17391.304347826088,,,,
81365497,4 BHK Builder Floor for Sale in Mahavir Enclave Part 2 Mahavir Enclave New Delhi,4,6800000.0,₹ 68 Lac,955.0,955 sqft,7120.418848167539,,,,
81281453,"3 BHK Apartment for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar New Delhi",3,62000000.0,₹ 6.20 Cr,1950.0,1950 sqft,31794.871794871793,,DLF One Midtown,,
81392615,2 BHK Apartment for Sale in Panchsheel Park New Delhi,2,52500000.0,₹ 5.25 Cr,1225.0,1225 sqft,42857.142857142855,,,,
80843389,3 BHK Builder Floor for Sale in Kalkaji New Delhi,3,41000000.0,₹ 4.10 Cr,2300.0,2300 sqft,17826.08695652174,,,,
74088553,"3 BHK Apartment for Sale in Suryodaya Apartment DDA Flats Pocket 8, Pocket 7 Sector 12 Dwarka New Delhi",3,23000000.0,₹ 2.30 Cr,1200.0,1200 sqft,19166.666666666668,,Suryodaya Apartment DDA Flats Pocket 8,,
80766947,"3 BHK Apartment for Sale in Kiran Garden, Uttam Nagar New Delhi",3,7000000.0,₹ 70 Lac,980.0,980 sqft,7142.857142857143,,,,
81375861,3 BHK Apartment for Sale in Phase 3 Mayur Vihar New Delhi,3,9800000.0,₹ 98 Lac,1300.0,1300 sqft,7538.461538461538,,,,
81340563,"2 BHK Apartment for Sale in DDA LIG Apartment, Pitam Pura New Delhi",2,7000000.0,₹ 70 Lac,400.0,400 sqft,17500.0,,DDA LIG Apartment,,
78974637,3 BHK Apartment for Sale in Nirman Vihar Preet Vihar New Delhi,3,30000000.0,₹ 3 Cr,1395.0,155 sqyrd,21505.37634408602,,,,
80728341,"3 BHK Apartment for Sale in DLF One Midtown, Shivaji Marg New Delhi",3,39000000.0,₹ 3.90 Cr,2300.0,2300 sqft,16956.521739130436,,DLF One Midtown,,
77517341,"3 BHK Apartment for Sale in Aero View Heights, Sector 22 Dwarka New Delhi",3,29000000.0,₹ 2.90 Cr,1500.0,1500 sqft,19333.333333333332,,Aero View Heights,,
80937423,"3 BHK Apartment for Sale in Mahavir Enclave, Dwarka New Delhi",3,7500000.0,₹ 75 Lac,990.0,110 sqyrd,7575.757575757576,,Mahavir Enclave,,
78080047,"2 BHK Apartment for Sale in Oberoi Apartments, Ludlow Castle, Civil Lines New Delhi",2,50000000.0,₹ 5 Cr,1120.0,1120 sqft,44642.857142857145,,Oberoi Apartments,,
81378333,3 BHK House for Sale in Ramprastha Greens New Delhi,3,100000000.0,₹ 10 Cr,2228.0,2228 sqft,44883.30341113106,,,,
81124313,"3 BHK Builder Floor for Sale in Patel Garden, Dwarka New Delhi",3,6000000.0,₹ 60 Lac,900.0,900 sqft,6666.666666666667,,,,
37501291,9 BHK House for Sale in Rajinder Nagar New Delhi,9,520000000.0,₹ 52 Cr,8400.0,8400 sqft,61904.76190476191,,,,
78418269,"2 BHK Apartment for Sale in Maurya Enclave, Pitam Pura New Delhi",2,10000000.0,₹ 1 Cr,540.0,540 sqft,18518.51851851852,,Maurya Enclave,,
81414879,"2 BHK Apartment for Sale in Naveen Niketan S.D.A, Safdarjung Development Area, Hauz Khas New Delhi",2,25000000.0,₹ 2.50 Cr,750.0,750 sqft,33333.333333333336,,Naveen Niketan S.D.A,,
81412697,4 BHK Builder Floor for Sale in Jasola New Delhi,4,57500000.0,₹ 5.75 Cr,2000.0,2000 sqft,28750.0,,,,
81225039,4 BHK House for Sale in Qutub Vihar 1 New Delhi,4,19200000.0,₹ 1.92 Cr,1528.0,1528 sqft,12565.445026178011,,,,
80079199,2 BHK Builder Floor for Sale in Sector 16B Dwarka New Delhi,2,3000000.0,₹ 30 Lac,660.0,660 sqft,4545.454545454545,,,,
79725163,"4 BHK Apartment for Sale in Gorakh Park East, Babarpur New Delhi",4,7750000.0,₹ 77.5 Lac,900.0,100 sqyrd,8611.111111111111,,,,
